Name	Fraction	Experiment	PTM
Ref7681_MO_09_20220707		Uqcc1_3	
Ref7681_MO_03_20220707		ml45_3	
Ref7681_MO_08_20220707		Uqcc1_2	
Ref7681_MO_06_20220707		Mrps36_3	
Ref7681_MO_04_20220707		Mrps36_1	
Ref7681_MO_02_20220707		ml45_2	
Ref7681_MO_07_20220707		Uqcc1_1	
Ref7681_MO_01_20220707		ml45_1	
Ref7681_MO_05_20220707		Mrps36_2	
